reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,year,controlling_corporation,is_summary,geo_query,latitude,longitude,place_id,formatted_address,geocode_status
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Berwick LFG Power Station,F,VIC,36393.0,10109.0,513.0,215.0,728,0.05,On,NEM,Landfill Gas,2020,,False,"Berwick LFG Power Station, VIC, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Bidyadanga Facility,F,WA,11180.0,3106.0,2226.0,0.0,2226,0.72,Off,Off-grid,Diesel,2020,,False,"Bidyadanga Facility, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broadmeadows LFG Power Station,F,VIC,43320.0,12033.0,608.0,125.0,733,0.05,On,NEM,Landfill Gas,2020,,False,"Broadmeadows LFG Power Station, VIC, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Brooklyn LFG Power Station,F,VIC,31468.0,8741.0,494.0,2.0,496,0.06,On,NEM,Landfill Gas,2020,,False,"Brooklyn LFG Power Station, VIC, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broome LNG Power Station,F,WA,498016.0,138338.0,79069.0,30.0,79099,0.57,Off,Off-grid,Gas,2020,,False,"Broome LNG Power Station, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Browns Plains LFG Power Station,F,QLD,55418.0,15394.0,883.0,2.0,885,0.06,On,NEM,Landfill Gas,2020,,False,"Browns Plains LFG Power Station, QLD, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Clayton LFG Power Station,F,VIC,298046.0,82790.0,4068.0,308.0,4376,0.05,On,NEM,Landfill Gas,2020,,False,"Clayton LFG Power Station, VIC, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Coober Pedy Facility,F,SA,55836.0,15510.0,2358.0,0.0,2358,0.15,Off,Off-grid,Wind,2020,,False,"Coober Pedy Facility, SA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corio LFG Power Station,F,VIC,27200.0,7556.0,385.0,4.0,389,0.05,On,NEM,Landfill Gas,2020,,False,"Corio LFG Power Station, VIC, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Cullerin Range Wind Farm,F,NSW,390638.0,108511.0,21.0,75.0,96,0.0,On,NEM,Wind,2020,,False,"Cullerin Range Wind Farm, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Derby LNG Power Station,F,WA,124341.0,34539.0,20623.0,0.0,20623,0.6,Off,Off-grid,Gas,2020,,False,"Derby LNG Power Station, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Djarindjin Facility,F,WA,6489.0,1802.0,1309.0,0.0,1309,0.73,Off,Off-grid,Diesel,2020,,False,"Djarindjin Facility, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Eastern Creek LFG Power Station,F,NSW,20612.0,5726.0,331.0,12.0,343,0.06,On,NEM,Landfill Gas,2020,,False,"Eastern Creek LFG Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Fitzroy Crossing LNG Power Station,F,WA,53003.0,14723.0,9623.0,0.0,9623,0.65,Off,Off-grid,Gas,2020,,False,"Fitzroy Crossing LNG Power Station, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Gascoyne Facility,F,WA,2571.0,714.0,571.0,0.0,571,0.8,Off,Off-grid,Diesel,2020,,False,"Gascoyne Facility, WA, Australia",,,,,
