measure_data_item,time_period_time_period,obs_value,unit_measure_unit_of_measure,state,year
ERP_F_6: Estimated resident population:Females aged 20-24 years (no.),2021,243734.0,PSNS: Persons,NSW,2021
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2019,173177.0,PSNS: Persons,WA,2019
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2020,172340.0,PSNS: Persons,WA,2020
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2021,170773.0,PSNS: Persons,WA,2021
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2022,170125.0,PSNS: Persons,WA,2022
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2023,169173.0,PSNS: Persons,WA,2023
ERP_22: Median age:Females (years),2019,37.8,YR: Years,WA,2019
ERP_22: Median age:Females (years),2020,38.2,YR: Years,WA,2020
ERP_22: Median age:Females (years),2021,38.6,YR: Years,WA,2021
ERP_22: Median age:Females (years),2022,38.9,YR: Years,WA,2022
ERP_22: Median age:Females (years),2023,38.7,YR: Years,WA,2023
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2019,2.0,PCT: Percent,SA,2019
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2020,2.0,PCT: Percent,SA,2020
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2021,2.0,PCT: Percent,SA,2021
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2022,2.1,PCT: Percent,SA,2022
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2023,2.1,PCT: Percent,SA,2023
ING_HOSD6: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring two additional bedrooms (%),2016,12.1,PCT: Percent,OT,2016
ING_HOSD6: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring two additional bedrooms (%),2021,19.9,PCT: Percent,OT,2021
ING_ALC1: Aboriginal and Torres Strait Islander Peoples:Alcohol consumption did not exceed life time alcohol risk levels (2009 guidelines) (no.),2015,38520.0,PSNS: Persons,NT,2015
ING_ALC1: Aboriginal and Torres Strait Islander Peoples:Alcohol consumption did not exceed life time alcohol risk levels (2009 guidelines) (no.),2019,43994.0,PSNS: Persons,NT,2019
ERP_21: Population density (persons/km2),2019,1.8,PSNS_PER_SQKM: Persons per Square Kilometre,SA,2019
ERP_21: Population density (persons/km2),2020,1.8,PSNS_PER_SQKM: Persons per Square Kilometre,SA,2020
ERP_21: Population density (persons/km2),2021,1.8,PSNS_PER_SQKM: Persons per Square Kilometre,SA,2021
ERP_21: Population density (persons/km2),2022,1.9,PSNS_PER_SQKM: Persons per Square Kilometre,SA,2022
ERP_21: Population density (persons/km2),2023,1.9,PSNS_PER_SQKM: Persons per Square Kilometre,SA,2023
ERP_21: Population density (persons/km2),2024,1.9,PSNS_PER_SQKM: Persons per Square Kilometre,SA,2024
ERP_M_19: Estimated resident population:Males aged 85 and over (no.),2019,17622.0,PSNS: Persons,WA,2019
ERP_M_19: Estimated resident population:Males aged 85 and over (no.),2020,18775.0,PSNS: Persons,WA,2020
ERP_M_19: Estimated resident population:Males aged 85 and over (no.),2021,19926.0,PSNS: Persons,WA,2021
ERP_M_19: Estimated resident population:Males aged 85 and over (no.),2022,20917.0,PSNS: Persons,WA,2022
ERP_M_19: Estimated resident population:Males aged 85 and over (no.),2023,22160.0,PSNS: Persons,WA,2023
ING_LANG1: Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),2016,7.3,PCT: Percent,QLD,2016
ING_LANG1: Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),2021,8.4,PCT: Percent,QLD,2021
ING_YR12C3P2: Aboriginal and Torres Strait Islander Peoples:20-24 year olds that attained Year 12 or equivalent or Certificate III or above (%),2016,69.5,PCT: Percent,QLD,2016
ING_YR12C3P2: Aboriginal and Torres Strait Islander Peoples:20-24 year olds that attained Year 12 or equivalent or Certificate III or above (%),2021,75.0,PCT: Percent,QLD,2021
ERP_P_29: Estimated resident population:Persons aged 40-44 years (%),2019,6.3,PCT: Percent,QLD,2019
ERP_P_29: Estimated resident population:Persons aged 40-44 years (%),2020,6.3,PCT: Percent,QLD,2020
ERP_P_29: Estimated resident population:Persons aged 40-44 years (%),2021,6.4,PCT: Percent,QLD,2021
ERP_P_29: Estimated resident population:Persons aged 40-44 years (%),2022,6.5,PCT: Percent,QLD,2022
ERP_P_29: Estimated resident population:Persons aged 40-44 years (%),2023,6.6,PCT: Percent,QLD,2023
ING_UPCC2: Aboriginal and Torres Strait Islander Peoples:Cared for own child/children (%),2016,20.9,PCT: Percent,ACT,2016
ING_UPCC2: Aboriginal and Torres Strait Islander Peoples:Cared for own child/children (%),2021,19.7,PCT: Percent,ACT,2021
ING_M1524: Estimated resident Aboriginal and Torres Strait Islander population:Males aged 15-24 years (no.),2021,7281.0,PSNS: Persons,NT,2021
ING_HOSD1: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2016,124198.0,PSNS: Persons,QLD,2016
ING_HOSD1: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2021,165224.0,PSNS: Persons,QLD,2021
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2019,118460.0,PSNS: Persons,SA,2019
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2020,120180.0,PSNS: Persons,SA,2020
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2021,120467.0,PSNS: Persons,SA,2021
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2022,121658.0,PSNS: Persons,SA,2022
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2023,125735.0,PSNS: Persons,SA,2023
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2019,7.3,PCT: Percent,OT,2019
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2020,6.9,PCT: Percent,OT,2020
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2021,6.5,PCT: Percent,OT,2021
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2022,6.3,PCT: Percent,OT,2022
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2023,6.8,PCT: Percent,OT,2023
ERP_17: Working age population (persons aged 15-64 years) (%),2019,62.8,PCT: Percent,TAS,2019
ERP_17: Working age population (persons aged 15-64 years) (%),2020,62.7,PCT: Percent,TAS,2020
ERP_17: Working age population (persons aged 15-64 years) (%),2021,62.7,PCT: Percent,TAS,2021
ERP_17: Working age population (persons aged 15-64 years) (%),2022,62.5,PCT: Percent,TAS,2022
ERP_17: Working age population (persons aged 15-64 years) (%),2023,62.3,PCT: Percent,TAS,2023
ING_DISAB6: Aboriginal and Torres Strait Islander Peoples:Total with disability (%),2019,45.8,PCT: Percent,SA,2019
ING_P1524: Estimated resident Aboriginal and Torres Strait Islander population aged 15-24 years (no.),2021,5986.0,PSNS: Persons,TAS,2021
ING_LTHC4: Aboriginal and Torres Strait Islander Peoples:Three or more long-term health conditions (no.),2019,4081.0,PSNS: Persons,ACT,2019
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2019,6.8,PCT: Percent,NT,2019
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2020,7.0,PCT: Percent,NT,2020
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2021,7.0,PCT: Percent,NT,2021
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2022,7.1,PCT: Percent,NT,2022
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2023,7.0,PCT: Percent,NT,2023
ERP_F_22: Estimated resident population:Females aged 5-9 years (%),2019,5.7,PCT: Percent,OT,2019
ERP_F_22: Estimated resident population:Females aged 5-9 years (%),2020,5.6,PCT: Percent,OT,2020
ERP_F_22: Estimated resident population:Females aged 5-9 years (%),2021,6.0,PCT: Percent,OT,2021
ERP_F_22: Estimated resident population:Females aged 5-9 years (%),2022,6.0,PCT: Percent,OT,2022
ERP_F_22: Estimated resident population:Females aged 5-9 years (%),2023,6.4,PCT: Percent,OT,2023
"ING_EETPH1: Aboriginal and Torres Strait Islander Peoples:15-24 year olds fully engaged in employment, education or training (no.)",2016,18322.0,PSNS: Persons,QLD,2016
"ING_EETPH1: Aboriginal and Torres Strait Islander Peoples:15-24 year olds fully engaged in employment, education or training (no.)",2021,23722.0,PSNS: Persons,QLD,2021
ING_DISAB2: Aboriginal and Torres Strait Islander Peoples:Disability status: Moderate/mild core activity limitation (no.),2019,9595.0,PSNS: Persons,WA,2019
ERP_P_27: Estimated resident population:Persons aged 30-34 years (%),2023,9.7,PCT: Percent,NT,2023
ING_EMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force employed,2016,73.1,PCT: Percent,NT,2016
ING_EMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force employed,2021,78.9,PCT: Percent,NT,2021
ING_UA2: Aboriginal and Torres Strait Islander Peoples:Provided unpaid assistance to a person with a disability (%),2016,13.3,PCT: Percent,SA,2016
ING_UA2: Aboriginal and Torres Strait Islander Peoples:Provided unpaid assistance to a person with a disability (%),2021,14.4,PCT: Percent,SA,2021
ING_ALC2: Aboriginal and Torres Strait Islander Peoples:Alcohol consumption did not exceed life time alcohol risk levels (2009 guidelines) (%),2015,77.3,PCT: Percent,NSW,2015
ING_ALC2: Aboriginal and Torres Strait Islander Peoples:Alcohol consumption did not exceed life time alcohol risk levels (2009 guidelines) (%),2019,78.7,PCT: Percent,NSW,2019
ERP_P_27: Estimated resident population:Persons aged 30-34 years (%),2019,9.6,PCT: Percent,NT,2019
ERP_P_27: Estimated resident population:Persons aged 30-34 years (%),2020,9.5,PCT: Percent,NT,2020
ERP_P_27: Estimated resident population:Persons aged 30-34 years (%),2021,9.5,PCT: Percent,NT,2021
ERP_P_27: Estimated resident population:Persons aged 30-34 years (%),2022,9.6,PCT: Percent,NT,2022
ING_LANG2: Aboriginal and Torres Strait Islander Peoples:Speaks English at home (%),2016,80.4,PCT: Percent,OT,2016
ING_LANG2: Aboriginal and Torres Strait Islander Peoples:Speaks English at home (%),2021,84.0,PCT: Percent,OT,2021
ING_USP1: Aboriginal and Torres Strait Islander Peoples:Aboriginal Medical Service is usual health service provider (no.),2019,56143.0,PSNS: Persons,NT,2019
ERP_M_28: Estimated resident population:Males aged 35-39 years (%),2019,7.1,PCT: Percent,NSW,2019
ERP_M_28: Estimated resident population:Males aged 35-39 years (%),2020,7.2,PCT: Percent,NSW,2020
ERP_M_28: Estimated resident population:Males aged 35-39 years (%),2021,7.3,PCT: Percent,NSW,2021
ERP_M_28: Estimated resident population:Males aged 35-39 years (%),2022,7.2,PCT: Percent,NSW,2022
ERP_M_28: Estimated resident population:Males aged 35-39 years (%),2023,7.2,PCT: Percent,NSW,2023
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2019,96001.0,PSNS: Persons,VIC,2019
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2020,100174.0,PSNS: Persons,VIC,2020
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2021,104574.0,PSNS: Persons,VIC,2021
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2022,112815.0,PSNS: Persons,VIC,2022
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2023,120630.0,PSNS: Persons,VIC,2023
ERP_M_12: Estimated resident population:Males aged 50-54 years (no.),2019,175.0,PSNS: Persons,OT,2019
ERP_M_12: Estimated resident population:Males aged 50-54 years (no.),2020,178.0,PSNS: Persons,OT,2020
ERP_M_12: Estimated resident population:Males aged 50-54 years (no.),2021,182.0,PSNS: Persons,OT,2021
ERP_M_12: Estimated resident population:Males aged 50-54 years (no.),2022,182.0,PSNS: Persons,OT,2022
ERP_M_12: Estimated resident population:Males aged 50-54 years (no.),2023,191.0,PSNS: Persons,OT,2023
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2019,8.1,PCT: Percent,ACT,2019
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2020,8.2,PCT: Percent,ACT,2020
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2021,8.2,PCT: Percent,ACT,2021
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2022,8.2,PCT: Percent,ACT,2022
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2023,8.1,PCT: Percent,ACT,2023
ING_LFSP3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 25-64 years (no.),2016,99.0,PSNS: Persons,OT,2016
ING_LFSP3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 25-64 years (no.),2021,76.0,PSNS: Persons,OT,2021
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2019,8768.0,PSNS: Persons,NT,2019
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2020,8601.0,PSNS: Persons,NT,2020
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2021,8430.0,PSNS: Persons,NT,2021
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2022,8373.0,PSNS: Persons,NT,2022
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2023,8292.0,PSNS: Persons,NT,2023
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2019,2.8,PCT: Percent,QLD,2019
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2020,3.0,PCT: Percent,QLD,2020
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2021,3.1,PCT: Percent,QLD,2021
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2022,3.3,PCT: Percent,QLD,2022
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2023,3.5,PCT: Percent,QLD,2023
ING_USP4: Aboriginal and Torres Strait Islander Peoples:Aboriginal Medical Service is preferred health service provider (%),2019,45.1,PCT: Percent,NSW,2019
ING_DISAB7: Aboriginal and Torres Strait Islander Peoples:Disability status: No disability or long-term health condition (%),2019,65.5,PCT: Percent,WA,2019
ING_HOSD8: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring three additional bedrooms (%),2016,0.5,PCT: Percent,VIC,2016
ING_HOSD8: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring three additional bedrooms (%),2021,0.7,PCT: Percent,VIC,2021
ING_1564: Aboriginal and Torres Strait Islander Peoples:Total Census responding population aged 15-64 years (no.),2016,28618.0,PSNS: Persons,VIC,2016
ING_1564: Aboriginal and Torres Strait Islander Peoples:Total Census responding population aged 15-64 years (no.),2021,39682.0,PSNS: Persons,VIC,2021
ING_USP1: Aboriginal and Torres Strait Islander Peoples:Aboriginal Medical Service is usual health service provider (no.),2019,91257.0,PSNS: Persons,QLD,2019
ERP_F_13: Estimated resident population:Females aged 55-59 years (no.),2019,161583.0,PSNS: Persons,QLD,2019
ERP_F_13: Estimated resident population:Females aged 55-59 years (no.),2020,163639.0,PSNS: Persons,QLD,2020
ERP_F_13: Estimated resident population:Females aged 55-59 years (no.),2021,162654.0,PSNS: Persons,QLD,2021
ERP_F_13: Estimated resident population:Females aged 55-59 years (no.),2022,162495.0,PSNS: Persons,QLD,2022
ERP_F_13: Estimated resident population:Females aged 55-59 years (no.),2023,162285.0,PSNS: Persons,QLD,2023
ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),2019,9329.0,PSNS: Persons,NT,2019
ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),2020,9268.0,PSNS: Persons,NT,2020
ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),2021,9217.0,PSNS: Persons,NT,2021
ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),2022,9145.0,PSNS: Persons,NT,2022
ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),2023,9049.0,PSNS: Persons,NT,2023
ING_VOLWP1: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (no.),2016,3230.0,PSNS: Persons,SA,2016
ING_VOLWP1: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (no.),2021,3062.0,PSNS: Persons,SA,2021
ERP_F_6: Estimated resident population:Females aged 20-24 years (no.),2019,82029.0,PSNS: Persons,WA,2019
ERP_F_6: Estimated resident population:Females aged 20-24 years (no.),2020,82332.0,PSNS: Persons,WA,2020
ERP_F_6: Estimated resident population:Females aged 20-24 years (no.),2021,80580.0,PSNS: Persons,WA,2021
ERP_F_6: Estimated resident population:Females aged 20-24 years (no.),2022,80379.0,PSNS: Persons,WA,2022
ERP_F_6: Estimated resident population:Females aged 20-24 years (no.),2023,84703.0,PSNS: Persons,WA,2023
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2016,31.2,PCT: Percent,NT,2016
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2021,30.7,PCT: Percent,NT,2021
ING_UPCC4: Aboriginal and Torres Strait Islander Peoples:Cared for other child/children (%),2016,9.6,PCT: Percent,WA,2016
ING_UPCC4: Aboriginal and Torres Strait Islander Peoples:Cared for other child/children (%),2021,9.4,PCT: Percent,WA,2021
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2019,3.3,PCT: Percent,NT,2019
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2020,3.5,PCT: Percent,NT,2020
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2021,3.5,PCT: Percent,NT,2021
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2022,3.6,PCT: Percent,NT,2022
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2023,3.6,PCT: Percent,NT,2023
"ING_EETPH1: Aboriginal and Torres Strait Islander Peoples:15-24 year olds fully engaged in employment, education or training (no.)",2016,948.0,PSNS: Persons,ACT,2016
"ING_EETPH1: Aboriginal and Torres Strait Islander Peoples:15-24 year olds fully engaged in employment, education or training (no.)",2021,1304.0,PSNS: Persons,ACT,2021
ING_LFSP2: Aboriginal and Torres Strait Islander Peoples:Employed (persons aged 25-64 years) (%),2016,70.1,PCT: Percent,ACT,2016
ING_LFSP2: Aboriginal and Torres Strait Islander Peoples:Employed (persons aged 25-64 years) (%),2021,73.0,PCT: Percent,ACT,2021
ERP_M_20: Estimated resident population:Males (no.),2019,126289.0,PSNS: Persons,NT,2019
ERP_M_20: Estimated resident population:Males (no.),2020,126013.0,PSNS: Persons,NT,2020
ERP_M_20: Estimated resident population:Males (no.),2021,126166.0,PSNS: Persons,NT,2021
ERP_M_20: Estimated resident population:Males (no.),2022,127000.0,PSNS: Persons,NT,2022
ERP_M_20: Estimated resident population:Males (no.),2023,127821.0,PSNS: Persons,NT,2023
ING_UPCC3: Aboriginal and Torres Strait Islander Peoples:Cared for other child/children (no.),2016,1987.0,PSNS: Persons,SA,2016
ING_UPCC3: Aboriginal and Torres Strait Islander Peoples:Cared for other child/children (no.),2021,2571.0,PSNS: Persons,SA,2021
ING_P2534: Estimated resident Aboriginal and Torres Strait Islander population aged 25-34 years (no.),2021,47949.0,PSNS: Persons,NSW,2021
ERP_M_25: Estimated resident population:Males aged 20-24 years (%),2019,7.6,PCT: Percent,VIC,2019
ERP_M_25: Estimated resident population:Males aged 20-24 years (%),2020,7.3,PCT: Percent,VIC,2020
ERP_M_25: Estimated resident population:Males aged 20-24 years (%),2021,6.7,PCT: Percent,VIC,2021
ERP_M_25: Estimated resident population:Males aged 20-24 years (%),2022,6.7,PCT: Percent,VIC,2022
ERP_M_25: Estimated resident population:Males aged 20-24 years (%),2023,7.0,PCT: Percent,VIC,2023
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2019,41975.0,PSNS: Persons,SA,2019
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2020,43704.0,PSNS: Persons,SA,2020
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2021,45079.0,PSNS: Persons,SA,2021
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2022,46458.0,PSNS: Persons,SA,2022
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2023,47968.0,PSNS: Persons,SA,2023
ERP_M_10: Estimated resident population:Males aged 40-44 years (no.),2022,155.0,PSNS: Persons,OT,2022
ERP_M_10: Estimated resident population:Males aged 40-44 years (no.),2023,175.0,PSNS: Persons,OT,2023
ING_ALC1: Aboriginal and Torres Strait Islander Peoples:Alcohol consumption did not exceed life time alcohol risk levels (2009 guidelines) (no.),2015,21518.0,PSNS: Persons,SA,2015
ING_ALC1: Aboriginal and Torres Strait Islander Peoples:Alcohol consumption did not exceed life time alcohol risk levels (2009 guidelines) (no.),2019,23496.0,PSNS: Persons,SA,2019
ERP_P_16: Estimated resident population:Persons aged 70-74 years (no.),2019,29242.0,PSNS: Persons,TAS,2019
ERP_P_16: Estimated resident population:Persons aged 70-74 years (no.),2020,30685.0,PSNS: Persons,TAS,2020
ERP_P_16: Estimated resident population:Persons aged 70-74 years (no.),2021,31758.0,PSNS: Persons,TAS,2021
ERP_P_16: Estimated resident population:Persons aged 70-74 years (no.),2022,31656.0,PSNS: Persons,TAS,2022
ERP_P_16: Estimated resident population:Persons aged 70-74 years (no.),2023,31815.0,PSNS: Persons,TAS,2023
ERP_M_10: Estimated resident population:Males aged 40-44 years (no.),2019,142.0,PSNS: Persons,OT,2019
ERP_M_10: Estimated resident population:Males aged 40-44 years (no.),2020,143.0,PSNS: Persons,OT,2020
ERP_M_10: Estimated resident population:Males aged 40-44 years (no.),2021,148.0,PSNS: Persons,OT,2021
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2024,56.0,NUM: Number,ACT,2024
ERP_M_15: Estimated resident population:Males aged 65-69 years (no.),2019,47069.0,PSNS: Persons,SA,2019
ERP_M_15: Estimated resident population:Males aged 65-69 years (no.),2020,47980.0,PSNS: Persons,SA,2020
ERP_M_15: Estimated resident population:Males aged 65-69 years (no.),2021,48612.0,PSNS: Persons,SA,2021
ERP_M_15: Estimated resident population:Males aged 65-69 years (no.),2022,49229.0,PSNS: Persons,SA,2022
ERP_M_15: Estimated resident population:Males aged 65-69 years (no.),2023,49892.0,PSNS: Persons,SA,2023
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2019,43.0,NUM: Number,ACT,2019
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2020,42.0,NUM: Number,ACT,2020
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2021,42.0,NUM: Number,ACT,2021
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2022,51.0,NUM: Number,ACT,2022
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2023,57.0,NUM: Number,ACT,2023
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2019,58818.0,PSNS: Persons,SA,2019
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2020,59467.0,PSNS: Persons,SA,2020
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2021,59198.0,PSNS: Persons,SA,2021
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2022,59641.0,PSNS: Persons,SA,2022
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2023,61563.0,PSNS: Persons,SA,2023
ING_LTHC5: Aboriginal and Torres Strait Islander Peoples:One or more current long-term health conditions (no.),2019,6227.0,PSNS: Persons,ACT,2019
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2019,2.7,PCT: Percent,VIC,2019
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2020,2.8,PCT: Percent,VIC,2020
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2021,2.9,PCT: Percent,VIC,2021
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2022,3.1,PCT: Percent,VIC,2022
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2023,3.2,PCT: Percent,VIC,2023
ING_HLTC2: Aboriginal and Torres Strait Islander Peoples:Recognises and lives in homelands/traditional country (%),2015,29.6,PCT: Percent,WA,2015
ING_HLTC2: Aboriginal and Torres Strait Islander Peoples:Recognises and lives in homelands/traditional country (%),2019,27.4,PCT: Percent,WA,2019
ING_M014: Estimated resident Aboriginal and Torres Strait Islander population:Males aged 0-14 years (no.),2021,19970.0,PSNS: Persons,WA,2021
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2019,6.5,PCT: Percent,VIC,2019
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2020,6.4,PCT: Percent,VIC,2020
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2021,6.5,PCT: Percent,VIC,2021
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2022,6.4,PCT: Percent,VIC,2022
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2023,6.2,PCT: Percent,VIC,2023
ING_UNEMP1: Aboriginal and Torres Strait Islander Peoples:Unemployed (no.),2016,2154.0,PSNS: Persons,SA,2016
ING_UNEMP1: Aboriginal and Torres Strait Islander Peoples:Unemployed (no.),2021,2251.0,PSNS: Persons,SA,2021
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2023,5.3,PCT: Percent,TAS,2023
ING_F55OVER: Estimated resident Aboriginal and Torres Strait Islander population:Females aged 55 years and over (no.),2021,5114.0,PSNS: Persons,NT,2021
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2019,5.8,PCT: Percent,SA,2019
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2020,5.7,PCT: Percent,SA,2020
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2021,5.6,PCT: Percent,SA,2021
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2022,5.7,PCT: Percent,SA,2022
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2023,5.8,PCT: Percent,SA,2023
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2019,6.1,PCT: Percent,TAS,2019
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2020,5.8,PCT: Percent,TAS,2020
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2021,5.7,PCT: Percent,TAS,2021
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2022,5.4,PCT: Percent,TAS,2022
ING_HEAP1: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (no.),2021,1701.0,PSNS: Persons,NT,2021
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2019,6.0,PCT: Percent,SA,2019
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2020,6.0,PCT: Percent,SA,2020
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2021,6.1,PCT: Percent,SA,2021
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2022,6.2,PCT: Percent,SA,2022
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2023,6.1,PCT: Percent,SA,2023
ING_HEAP2: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (%),2016,47.0,PCT: Percent,TAS,2016
ING_HEAP2: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (%),2021,51.2,PCT: Percent,TAS,2021
ING_UPCC8: Aboriginal and Torres Strait Islander Peoples:Did not provide unpaid child care (%),2016,62.1,PCT: Percent,TAS,2016
ING_UPCC8: Aboriginal and Torres Strait Islander Peoples:Did not provide unpaid child care (%),2021,64.9,PCT: Percent,TAS,2021
ING_HEAP1: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (no.),2016,1263.0,PSNS: Persons,NT,2016
ING_F3544: Estimated resident Aboriginal and Torres Strait Islander population:Females aged 35-44 years (no.),2021,583.0,PSNS: Persons,ACT,2021
ERP_P_9: Estimated resident population:Persons aged 35-39 years (no.),2019,474739.0,PSNS: Persons,VIC,2019
