measure_data_item,time_period_time_period,obs_value,unit_measure_unit_of_measure,state,year
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2021,147137.0,PSNS: Persons,VIC,2021
ING_USP3: Aboriginal and Torres Strait Islander Peoples:Aboriginal Medical Service is preferred health service provider (no.),2019,119557.0,PSNS: Persons,QLD,2019
ING_UPCC6: Aboriginal and Torres Strait Islander Peoples:Provided unpaid child care (%),2016,29.5,PCT: Percent,VIC,2016
ING_UPCC6: Aboriginal and Torres Strait Islander Peoples:Provided unpaid child care (%),2021,27.7,PCT: Percent,VIC,2021
ING_P4554: Estimated resident Aboriginal and Torres Strait Islander population aged 45-54 years (no.),2021,27084.0,PSNS: Persons,QLD,2021
ING_UNEMP1: Aboriginal and Torres Strait Islander Peoples:Unemployed (no.),2016,2484.0,PSNS: Persons,VIC,2016
ING_UNEMP1: Aboriginal and Torres Strait Islander Peoples:Unemployed (no.),2021,2451.0,PSNS: Persons,VIC,2021
ERP_F_30: Estimated resident population:Females aged 45-49 years (%),2019,6.6,PCT: Percent,NSW,2019
ERP_F_30: Estimated resident population:Females aged 45-49 years (%),2020,6.5,PCT: Percent,NSW,2020
ERP_F_30: Estimated resident population:Females aged 45-49 years (%),2021,6.4,PCT: Percent,NSW,2021
ERP_F_30: Estimated resident population:Females aged 45-49 years (%),2022,6.2,PCT: Percent,NSW,2022
ERP_F_30: Estimated resident population:Females aged 45-49 years (%),2023,6.1,PCT: Percent,NSW,2023
"ING_EETP1: Aboriginal and Torres Strait Islander Peoples:Fully engaged in employment, education or training (%)",2016,28.1,PCT: Percent,NT,2016
"ING_EETP1: Aboriginal and Torres Strait Islander Peoples:Fully engaged in employment, education or training (%)",2021,25.4,PCT: Percent,NT,2021
PENSION_5: Government pensions and allowances:Income support supplement:Department of Veterans' Affairs (no.),2019,1233.0,NUM: Number,TAS,2019
PENSION_5: Government pensions and allowances:Income support supplement:Department of Veterans' Affairs (no.),2020,1129.0,NUM: Number,TAS,2020
PENSION_5: Government pensions and allowances:Income support supplement:Department of Veterans' Affairs (no.),2021,919.0,NUM: Number,TAS,2021
PENSION_5: Government pensions and allowances:Income support supplement:Department of Veterans' Affairs (no.),2022,924.0,NUM: Number,TAS,2022
PENSION_5: Government pensions and allowances:Income support supplement:Department of Veterans' Affairs (no.),2023,827.0,NUM: Number,TAS,2023
PENSION_5: Government pensions and allowances:Income support supplement:Department of Veterans' Affairs (no.),2024,756.0,NUM: Number,TAS,2024
ING_LTHC6: Aboriginal and Torres Strait Islander Peoples:One or more current long-term health conditions (%),2019,70.6,PCT: Percent,NSW,2019
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2019,6.3,PCT: Percent,OT,2019
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2020,6.1,PCT: Percent,OT,2020
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2021,6.0,PCT: Percent,OT,2021
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2022,5.7,PCT: Percent,OT,2022
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2023,5.9,PCT: Percent,OT,2023
ERP_18: Working age population (persons aged 15-64 years) (no.),2019,174060.0,PSNS: Persons,NT,2019
ERP_18: Working age population (persons aged 15-64 years) (no.),2020,173961.0,PSNS: Persons,NT,2020
ERP_18: Working age population (persons aged 15-64 years) (no.),2021,173882.0,PSNS: Persons,NT,2021
ERP_18: Working age population (persons aged 15-64 years) (no.),2022,175269.0,PSNS: Persons,NT,2022
ERP_18: Working age population (persons aged 15-64 years) (no.),2023,177342.0,PSNS: Persons,NT,2023
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2019,5.2,PCT: Percent,VIC,2019
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2020,5.3,PCT: Percent,VIC,2020
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2021,5.4,PCT: Percent,VIC,2021
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2022,5.4,PCT: Percent,VIC,2022
ERP_M_33: Estimated resident population:Males aged 60-64 years (%),2023,5.3,PCT: Percent,VIC,2023
ERP_M_27: Estimated resident population:Males aged 30-34 years (%),2019,9.3,PCT: Percent,NT,2019
ERP_M_27: Estimated resident population:Males aged 30-34 years (%),2020,9.3,PCT: Percent,NT,2020
ERP_M_27: Estimated resident population:Males aged 30-34 years (%),2021,9.2,PCT: Percent,NT,2021
