Controlling corporation,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes
DUET COMPANY LIMITED,Ardyaloon Remote Power Station,F,WA,7231,2009,1472,0.0,1472,0.73,Off,Off-grid,Liquid Fuel,
DUET COMPANY LIMITED,Beagle Bay Remote Power Station,F,WA,6737,1871,1356,0.0,1356,0.72,Off,Off-grid,Liquid Fuel,
DUET COMPANY LIMITED,Belrose LFG Power Station,F,NSW,22260,6183,410,0.0,410,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Berwick LFG Power Station,F,VIC,65410,18169,1161,596.0,1757,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Bidyadanga Remote Power Staiton,F,WA,11623,3229,2306,0.0,2306,0.71,Off,Off-grid,Liquid Fuel,
DUET COMPANY LIMITED,Broadmeadows LFG Power Station,F,VIC,63009,17503,1117,124.0,1241,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Brooklyn LFG Power Station,F,VIC,51958,14433,896,3.0,899,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Broome LNG Power Station,F,WA,522231,145064,81444,0.0,81444,0.56,Off,Off-grid,Gas/Diesel,
DUET COMPANY LIMITED,Browns Plains LFG Power Station,F,QLD,45924,12757,810,3.0,813,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Century Power Station,F,QLD,6112,1698,1195,0.0,1195,0.7,On,Mt Isa,Diesel,
DUET COMPANY LIMITED,Clayton LFG Power Station,F,VIC,271316,75366,4215,266.0,4481,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Coober Pedy Remote Power Station,F,SA,44801,12445,8455,0.0,8455,0.68,Off,Off-grid,Diesel,
DUET COMPANY LIMITED,Corio LFG Power Station,F,VIC,23608,6558,420,28.0,448,0.07,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Derby LNG Power Station,F,WA,134835,37454,21851,0.0,21851,0.58,Off,Off-grid,Gas/Diesel,
DUET COMPANY LIMITED,Djarandjin Remote Power Station,F,WA,6870,1908,1394,0.0,1394,0.73,Off,Off-grid,Liquid Fuel,
DUET COMPANY LIMITED,Eastern Creek LFG Power Station,F,NSW,43534,12093,700,3.0,703,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Fitzroy Crossing LNG Power Station,F,WA,53287,14802,9575,0.0,9575,0.65,Off,Off-grid,Gas/Diesel,
DUET COMPANY LIMITED,Gascoyne Junction Remote Power Station,F,WA,2814,782,627,0.0,627,0.8,Off,Off-grid,Liquid Fuel,
DUET COMPANY LIMITED,German Creek CMM Power Station,F,QLD,1163012,323059,173850,0.0,173850,0.54,On,NEM,Waste Coal Mine Gas,
DUET COMPANY LIMITED,Glennies Creek Power Station,F,NSW,337619,93783,50061,1.0,50062,0.53,On,NEM,Waste Coal Mine Gas,
DUET COMPANY LIMITED,Grange Avenue LFG Power Station,F,NSW,25014,6948,409,3.0,412,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Halls Creek LNG Power Station,F,WA,43083,11968,7306,0.0,7306,0.61,Off,Off-grid,Gas/Diesel,
DUET COMPANY LIMITED,Highbury LFG Power Station,F,SA,4330,1203,80,16.0,96,0.08,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Jacks Gully LFG Power Station,F,NSW,52288,14524,900,2.0,902,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Kalamunda Power Station,F,WA,6,2,5,0.0,5,3.0,On,SWIS,Diesel,
DUET COMPANY LIMITED,Karumba Power Station,F,QLD,29025,8063,5750,6.0,5756,0.71,Off,Off-grid,Diesel,
DUET COMPANY LIMITED,Laverton Remote Power Station,F,WA,12837,3566,2572,0.0,2572,0.72,Off,Off-grid,Liquid Fuel,
DUET COMPANY LIMITED,Leonora Remote Power Station,F,WA,30635,8510,6108,0.0,6108,0.72,Off,Off-grid,Gas,
DUET COMPANY LIMITED,Looma Power Station,F,WA,10467,2908,2350,0.0,2350,0.81,Off,Off-grid,Gas/Diesel,
DUET COMPANY LIMITED,Lucas Heights 1 LFG Power Station,F,NSW,53108,14752,945,5.0,950,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Lucas Heights 2 LFG Power Station,F,NSW,368337,102316,6465,3.0,6468,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,McArthur River Power Station,F,NT,939293,260915,127212,0.0,127212,0.49,Off,Off-grid,Gas,
DUET COMPANY LIMITED,Menzies Remote Power Station,F,WA,2449,680,531,0.0,531,0.78,Off,Off-grid,Liquid Fuel,
DUET COMPANY LIMITED,Moranbah North CMM Power Station,F,QLD,1678462,466239,255855,0.0,255855,0.55,On,NEM,Waste Coal Mine Gas,
DUET COMPANY LIMITED,Mugga Lane LFG Power Station,F,ACT,80866,22463,1431,1.0,1432,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Oaky Creek Power Station,F,QLD,466633,129620,65499,36.0,65535,0.51,On,NEM,Coal Seam Methane,
DUET COMPANY LIMITED,Pedler Creek LFG Power Station,F,SA,57633,16009,1013,1.0,1014,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Pine Creek A Power Station,F,NT,687890,191081,94297,0.0,94297,0.49,On,DKIS,Gas,
DUET COMPANY LIMITED,Red Hill Power Station,F,WA,10009,2780,160,0.0,160,0.06,On,SWIS,Landfill Gas,
DUET COMPANY LIMITED,Roghan Road LFG Power Station,F,QLD,3589,997,65,46.0,111,0.07,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Springvale LFG Power Station,F,VIC,53229,14786,947,6.0,953,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Tahmoor Power Station,F,NSW,140096,38916,20213,10.0,20223,0.52,On,NEM,Waste Coal Mine Gas,
DUET COMPANY LIMITED,Tamala Park Power Station,F,WA,14976,4160,237,0.0,237,0.06,On,SWIS,Landfill Gas,
DUET COMPANY LIMITED,Tea Tree Gully LFG Power Station,F,SA,4164,1157,77,18.0,95,0.08,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Tower CSM Power Station,F,NSW,846109,235030,162222,16.0,162238,0.69,On,NEM,Coal Seam Methane,
DUET COMPANY LIMITED,Warmun Remote Power Station,F,WA,10668,2963,2208,0.0,2208,0.75,Off,Off-grid,Liquid Fuel,
DUET COMPANY LIMITED,West Belconnen LFG Power Station,F,ACT,8006,2224,154,12.0,166,0.07,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Wingfield 1 LFG Power Station,F,SA,53049,14736,933,1.0,934,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Wingfield 2 LFG Power Station,F,SA,59208,16447,1041,1.0,1042,0.06,On,NEM,Landfill Gas,
DUET COMPANY LIMITED,Corporate Total,C,,9201809,2556058,1254244,1261.0,1255505,,,,,
ENERGY WORLD CORPORATION LTD,Brewer Power Station,F,NT,109710,30475,20492,15.0,20507,0.67,Off,Off-grid,Gas,
ENERGY WORLD CORPORATION LTD,Corporate Total,C,,109710,30475,20492,15.0,20507,,,,,
ENERGYAUSTRALIA HOLDINGS LIMITED,Cathedral Rocks Wind Farm,F,SA,616428,171230,47,129.0,176,0.0,On,NEM,Wind,
ENERGYAUSTRALIA HOLDINGS LIMITED,Hallett Power Station,F,SA,119986,33329,34161,2265.0,36426,1.02,On,NEM,Gas/Diesel,
ENERGYAUSTRALIA HOLDINGS LIMITED,Mt Piper Power Station,F,NSW,26133104,7259196,6322955,26169.0,6349124,0.87,On,NEM,Black Coal,
ENERGYAUSTRALIA HOLDINGS LIMITED,Tallawarra Power Station,F,NSW,6717747,1866041,689582,2881.0,692463,0.37,On,NEM,Gas,
ENERGYAUSTRALIA HOLDINGS LIMITED,Waterloo Wind Farm,F,SA,1103990,306664,72,210.0,282,0.0,On,NEM,Wind,
ENERGYAUSTRALIA HOLDINGS LIMITED,Yallourn Power Station,F,VIC,41717196,11588110,15306758,178085.0,15484843,1.32,On,NEM,Brown Coal,
ENERGYAUSTRALIA HOLDINGS LIMITED,Corporate Total,C,,76408451,21224570,22353575,209739.0,22563314,,,,,
ERM POWER LIMITED,Newgen Neerabup Power Station,F,WA,406064,112796,69332,3018.0,72350,0.61,On,SWIS,Gas,
ERM POWER LIMITED,Oakey Power Station,F,QLD,1873005,520279,331427,2012.0,333439,0.64,On,NEM,Gas,
ERM POWER LIMITED,Corporate Total,C,,2279069,633075,400759,5030.0,405789,,,,,
ESPERANCE POWER STATION PTY LTD,Esperance Power Station,F,WA,276530,76814,58694,0.0,58694,0.76,Off,Off-grid,Gas/Diesel,
ESPERANCE POWER STATION PTY LTD,Corporate Total,C,,276530,76814,58694,0.0,58694,,,,,
ESSENTIAL ENERGY,Essential Energy Generation Facilities,F,NSW,3290,914,1239,406.0,1645,1.36,On,NEM,Multiple sources,
